"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000002285" 382 356 740 792
"ENSDARG00000002293" 710 596 544 802
"ENSDARG00000002295" 53 56 58 62
"ENSDARG00000002298" 907 760 386 411
"ENSDARG00000002299" 1269 855 1600 1719
"ENSDARG00000002300" 4 4 8 11
"ENSDARG00000002303" 1545 1336 4059 3825
"ENSDARG00000002304" 121 108 346 404
"ENSDARG00000002305" 1245 1384 4967 4898
"ENSDARG00000002330" 88 53 13 15
"ENSDARG00000002332" 1259 1102 2119 2257
"ENSDARG00000002333" 211 172 240 262
"ENSDARG00000002336" 1102 933 292 233
"ENSDARG00000002339" 369 325 356 445
"ENSDARG00000002344" 12771 7568 25699 23729
"ENSDARG00000002353" 314 207 153 155
"ENSDARG00000002355" 42 35 83 85
"ENSDARG00000002362" 756 645 1578 1696
"ENSDARG00000002365" 1458 1014 1157 1353
"ENSDARG00000002369" 55638 37946 66377 62892
"ENSDARG00000002377" 368 268 417 435
"ENSDARG00000002385" 1275 1111 1694 1713
"ENSDARG00000002391" 623 531 674 877
"ENSDARG00000002394" 2 3 5 0
"ENSDARG00000002396" 715 431 468 501
"ENSDARG00000002400" 4325 3080 9856 8842
"ENSDARG00000002401" 493 674 2105 2199
"ENSDARG00000002402" 739 721 1281 1228
"ENSDARG00000002403" 94 108 1640 1469
"ENSDARG00000002405" 364 344 1135 1273
"ENSDARG00000002406" 3 2 11 4
"ENSDARG00000002411" 653 712 673 765
"ENSDARG00000002412" 1771 1837 792 729
"ENSDARG00000002414" 131000 127944 53194 61450
"ENSDARG00000002445" 171 136 2310 2504
"ENSDARG00000002463" 58 51 49 44
"ENSDARG00000002467" 333 249 356 390
"ENSDARG00000002479" 183 179 1748 1649
"ENSDARG00000002480" 152 124 109 102
"ENSDARG00000002483" 682 616 224 283
"ENSDARG00000002487" 529 442 1145 1043
"ENSDARG00000002494" 4465 3701 5506 5661
"ENSDARG00000002498" 3 2 29 52
"ENSDARG00000002502" 94 115 135 126
"ENSDARG00000002506" 644 643 2145 2660
"ENSDARG00000002507" 962 1118 4384 3674
"ENSDARG00000002509" 2011 2092 408 288
"ENSDARG00000002523" 884 746 3170 3280
"ENSDARG00000002533" 112 132 109 118
"ENSDARG00000002536" 2031 1878 4519 4254
"ENSDARG00000002538" 887 773 2385 2173
"ENSDARG00000002546" 40 37 47 45
"ENSDARG00000002549" 477 441 608 631
"ENSDARG00000002552" 1798 1911 3374 3396
"ENSDARG00000002564" 346 293 335 332
"ENSDARG00000002571" 4073 4147 5608 6182
"ENSDARG00000002576" 3298 2351 1765 1672
"ENSDARG00000002582" 61 49 221 223
"ENSDARG00000002585" 51 42 38 48
"ENSDARG00000002587" 780 692 1278 1236
"ENSDARG00000002589" 5 1 18 18
"ENSDARG00000002591" 538 558 2120 2174
"ENSDARG00000002593" 117 79 83 75
"ENSDARG00000002597" 2 1 3 4
"ENSDARG00000002600" 88 95 147 159
"ENSDARG00000002607" 527 420 1766 1760
"ENSDARG00000002609" 142 136 362 396
"ENSDARG00000002613" 140 174 801 863
"ENSDARG00000002614" 916 816 1297 1312
"ENSDARG00000002632" 7054 5931 9513 9101
"ENSDARG00000002634" 827 857 390 436
"ENSDARG00000002635" 436 391 259 300
"ENSDARG00000002642" 840 812 3562 3352
"ENSDARG00000002644" 911 752 536 796
"ENSDARG00000002656" 273 269 242 314
"ENSDARG00000002659" 1858 2158 9963 10189
"ENSDARG00000002663" 1411 1631 1238 1310
"ENSDARG00000002666" 13 7 6 2
"ENSDARG00000002670" 806 521 776 822
"ENSDARG00000002682" 455 556 398 429
"ENSDARG00000002685" 42 42 136 121
"ENSDARG00000002690" 102 118 458 525
"ENSDARG00000002696" 88 74 152 129
"ENSDARG00000002701" 210 193 390 322
"ENSDARG00000002702" 520 428 1303 1192
"ENSDARG00000002707" 28 22 5 3
"ENSDARG00000002710" 10622 8048 18792 18845
"ENSDARG00000002720" 424 355 877 790
"ENSDARG00000002722" 4 7 4 9
"ENSDARG00000002728" 6 6 3 7
"ENSDARG00000002731" 1991 1863 3918 3397
"ENSDARG00000002732" 259 268 3492 3226
"ENSDARG00000002745" 20135 7854 7282 6785
"ENSDARG00000002748" 148 89 361 423
"ENSDARG00000002750" 201 207 265 333
"ENSDARG00000002754" 121 120 257 343
"ENSDARG00000002758" 7999 6992 2825 3705
"ENSDARG00000002760" 232 173 100 90
"ENSDARG00000002764" 12 14 12 22
"ENSDARG00000002771" 75 62 61 78
"ENSDARG00000002776" 1050 895 1422 1674
"ENSDARG00000002779" 30 18 19 22
"ENSDARG00000002787" 2268 1157 3185 3438
"ENSDARG00000002790" 4037 3243 11307 10867
"ENSDARG00000002791" 6647 6179 14584 13210
"ENSDARG00000002792" 1161 1325 5787 5745
"ENSDARG00000002794" 351 407 393 425
"ENSDARG00000002795" 66 70 41 35
"ENSDARG00000002797" 5 2 5 6
"ENSDARG00000002798" 250 214 660 602
"ENSDARG00000002816" 145 95 139 149
"ENSDARG00000002826" 182 152 379 405
"ENSDARG00000002830" 200 225 870 1006
"ENSDARG00000002831" 314 259 291 365
"ENSDARG00000002837" 165 154 174 164
"ENSDARG00000002840" 361 308 1098 954
"ENSDARG00000002847" 1596 1349 1397 1370
"ENSDARG00000002872" 239 229 678 737
"ENSDARG00000002877" 1318 1055 2421 2118
"ENSDARG00000002880" 950 1004 1363 1400
"ENSDARG00000002894" 409 347 864 868
"ENSDARG00000002897" 1470 1574 2192 2432
"ENSDARG00000002898" 60 71 73 97
"ENSDARG00000002909" 5159 4236 2857 2687
"ENSDARG00000002912" 745 596 1852 1941
"ENSDARG00000002916" 1759 1736 2912 2979
"ENSDARG00000002917" 8 5 9 6
"ENSDARG00000002933" 9 3 9 7
"ENSDARG00000002937" 354 251 226 236
"ENSDARG00000002945" 156 212 735 780
"ENSDARG00000002947" 485 575 394 405
"ENSDARG00000002949" 1544 1529 3135 3155
"ENSDARG00000002952" 1083 1012 3313 3359
"ENSDARG00000002956" 485 509 747 577
"ENSDARG00000002959" 63 62 34 32
"ENSDARG00000002967" 565 495 588 629
"ENSDARG00000002968" 32 27 44 72
"ENSDARG00000002970" 1144 801 1792 1855
"ENSDARG00000002971" 443 364 1031 996
"ENSDARG00000002980" 519 489 618 610
"ENSDARG00000002981" 36 28 28 40
"ENSDARG00000002986" 32 20 239 163
"ENSDARG00000002988" 13 15 43 40
"ENSDARG00000002991" 515 502 1221 1342
"ENSDARG00000002994" 557 570 719 726
"ENSDARG00000003008" 566 475 523 500
"ENSDARG00000003016" 204392 122239 149647 142294
"ENSDARG00000003017" 1340 1126 1494 1627
"ENSDARG00000003020" 19 10 43 50
"ENSDARG00000003021" 1302 1283 1681 1728
"ENSDARG00000003022" 919 748 815 1000
"ENSDARG00000003025" 102 120 272 234
"ENSDARG00000003027" 163 129 192 221
"ENSDARG00000003032" 20529 14962 19300 18505
"ENSDARG00000003035" 1837 2106 6186 5219
"ENSDARG00000003041" 213 243 423 456
"ENSDARG00000003046" 273 262 483 474
"ENSDARG00000003051" 414 461 674 573
"ENSDARG00000003054" 85 65 123 142
"ENSDARG00000003058" 499 481 783 856
"ENSDARG00000003061" 1556 1356 12481 11099
"ENSDARG00000003068" 929 945 1596 1797
"ENSDARG00000003069" 261 241 329 408
"ENSDARG00000003077" 11 25 11 9
"ENSDARG00000003081" 26 31 56 84
"ENSDARG00000003084" 106 81 138 148
"ENSDARG00000003085" 67 58 103 114
"ENSDARG00000003087" 939 605 721 820
"ENSDARG00000003091" 5301 4064 1391 1694
"ENSDARG00000003098" 4221 3285 6883 6936
"ENSDARG00000003102" 803 558 914 887
"ENSDARG00000003109" 2033 1818 2812 2873
"ENSDARG00000003113" 1566 1398 1378 1574
"ENSDARG00000003127" 875 764 1868 1780
"ENSDARG00000003132" 62 63 61 51
"ENSDARG00000003142" 575 588 1891 2166
"ENSDARG00000003144" 102 95 283 261
"ENSDARG00000003145" 105 91 363 381
"ENSDARG00000003151" 4871 3951 9731 9444
"ENSDARG00000003153" 816 739 2073 2283
"ENSDARG00000003157" 101 61 145 122
"ENSDARG00000003165" 122 83 201 209
"ENSDARG00000003167" 543 490 983 988
"ENSDARG00000003169" 2029 1766 1845 1929
"ENSDARG00000003175" 848 818 1394 1438
"ENSDARG00000003181" 678 711 65 106
"ENSDARG00000003189" 2255 1879 9694 9596
"ENSDARG00000003191" 3275 2467 5009 5225
"ENSDARG00000003193" 1106 865 750 873
"ENSDARG00000003197" 380 390 409 487
"ENSDARG00000003200" 384 413 1685 1595
"ENSDARG00000003203" 8 4 2 7
"ENSDARG00000003205" 693 679 1477 1542
"ENSDARG00000003206" 917 717 916 1001
"ENSDARG00000003207" 323 209 225 229
"ENSDARG00000003208" 216 204 289 326
"ENSDARG00000003209" 32 28 37 43
"ENSDARG00000003210" 22 20 25 36
"ENSDARG00000003213" 1657 1598 4142 3878
"ENSDARG00000003216" 21562 21217 58197 59773
"ENSDARG00000003217" 384 348 804 830
"ENSDARG00000003219" 59 78 130 141
"ENSDARG00000003235" 713 596 1377 1328
"ENSDARG00000003244" 859 948 1455 1788
"ENSDARG00000003250" 785 507 251 270
"ENSDARG00000003251" 192 186 440 500
"ENSDARG00000003257" 804 620 587 589
"ENSDARG00000003259" 215 247 4774 4444
"ENSDARG00000003263" 154 178 383 435
"ENSDARG00000003269" 3016 2881 3053 3613
"ENSDARG00000003270" 423 362 520 558
"ENSDARG00000003281" 2214 1205 987 1167
"ENSDARG00000003283" 683 554 581 673
"ENSDARG00000003287" 447 378 1038 974
"ENSDARG00000003290" 48 46 53 70
"ENSDARG00000003293" 2292 1286 1761 1427
"ENSDARG00000003303" 63 113 166 180
"ENSDARG00000003307" 269 341 392 469
"ENSDARG00000003308" 1155 889 3527 3553
"ENSDARG00000003311" 1976 1954 2149 2454
"ENSDARG00000003313" 987 776 379 445
