"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000074791" 79 66 163 155
"ENSDARG00000074794" 101 55 64 71
"ENSDARG00000074796" 2277 1219 1836 2352
"ENSDARG00000074797" 14 24 39 37
"ENSDARG00000074800" 75 61 75 74
"ENSDARG00000074802" 66 72 99 86
"ENSDARG00000074804" 532 476 567 616
"ENSDARG00000074806" 257 201 2120 2422
"ENSDARG00000074807" 263 268 823 847
"ENSDARG00000074808" 252 228 3599 3227
"ENSDARG00000074809" 11 4 13 16
"ENSDARG00000074812" 81 70 16 17
"ENSDARG00000074813" 53 56 107 130
"ENSDARG00000074815" 1720 1807 8444 8641
"ENSDARG00000074816" 1 4 1 9
"ENSDARG00000074818" 23 19 17 26
"ENSDARG00000074819" 370 328 284 259
"ENSDARG00000074820" 114 92 136 178
"ENSDARG00000074821" 9162 7932 4594 5474
"ENSDARG00000074825" 687 629 897 909
"ENSDARG00000074826" 4 4 3 5
"ENSDARG00000074827" 785 1121 244 271
"ENSDARG00000074828" 14 31 39 40
"ENSDARG00000074829" 90 104 973 882
"ENSDARG00000074831" 5 2 5 7
"ENSDARG00000074836" 57 20 34 45
"ENSDARG00000074837" 1250 922 892 960
"ENSDARG00000074839" 42 47 38 43
"ENSDARG00000074842" 184 171 151 160
"ENSDARG00000074843" 579 606 1629 1953
"ENSDARG00000074844" 116 102 238 207
"ENSDARG00000074845" 287 183 274 275
"ENSDARG00000074846" 235 192 209 167
"ENSDARG00000074848" 247 238 371 474
"ENSDARG00000074849" 2694 2714 6849 6971
"ENSDARG00000074850" 1568 1305 2192 2177
"ENSDARG00000074851" 11 6 14 11
"ENSDARG00000074852" 23 23 92 99
"ENSDARG00000074853" 811 612 930 975
"ENSDARG00000074854" 30 16 24 14
"ENSDARG00000074856" 90 140 121 130
"ENSDARG00000074858" 852 753 1158 1160
"ENSDARG00000074860" 6 4 12 12
"ENSDARG00000074863" 84 63 167 161
"ENSDARG00000074865" 60 74 82 105
"ENSDARG00000074866" 413 504 423 449
"ENSDARG00000074867" 12 14 37 26
"ENSDARG00000074868" 2173 1945 2862 3165
"ENSDARG00000074869" 1445 957 2026 2348
"ENSDARG00000074876" 181 175 133 183
"ENSDARG00000074879" 124 66 180 190
"ENSDARG00000074881" 3990 3685 1936 2639
"ENSDARG00000074884" 1437 744 480 682
"ENSDARG00000074886" 8 6 18 14
"ENSDARG00000074887" 18 21 29 21
"ENSDARG00000074889" 91 88 167 151
"ENSDARG00000074891" 16 16 82 77
"ENSDARG00000074892" 128 128 357 358
"ENSDARG00000074894" 741 686 1004 1161
"ENSDARG00000074895" 269 250 188 196
"ENSDARG00000074897" 95 58 81 110
"ENSDARG00000074899" 1863 1659 3446 3622
"ENSDARG00000074902" 52 37 45 44
"ENSDARG00000074903" 281 282 417 564
"ENSDARG00000074904" 315 271 393 426
"ENSDARG00000074905" 275 222 394 432
"ENSDARG00000074906" 157 132 90 74
"ENSDARG00000074907" 113 112 200 257
"ENSDARG00000074908" 5258 6039 48725 40220
"ENSDARG00000074909" 4610 3783 2884 2901
"ENSDARG00000074910" 562 426 408 449
"ENSDARG00000074913" 1646 1283 2694 2635
"ENSDARG00000074915" 19 17 187 188
"ENSDARG00000074919" 155 191 193 199
"ENSDARG00000074920" 64 69 6 12
"ENSDARG00000074921" 79 75 97 83
"ENSDARG00000074922" 1041 863 989 1283
"ENSDARG00000074923" 68 52 101 110
"ENSDARG00000074924" 335 300 639 620
"ENSDARG00000074925" 1520 1421 1743 1860
"ENSDARG00000074927" 48 42 653 724
"ENSDARG00000074928" 23 4 2 0
"ENSDARG00000074930" 2 4 7 4
"ENSDARG00000074933" 212 210 234 297
"ENSDARG00000074936" 648 607 820 807
"ENSDARG00000074940" 2596 2346 9539 10115
"ENSDARG00000074942" 16 8 5 5
"ENSDARG00000074947" 483 421 559 583
"ENSDARG00000074949" 160 152 57 56
"ENSDARG00000074955" 3561 3073 4828 4552
"ENSDARG00000074959" 41 72 272 220
"ENSDARG00000074962" 57 43 82 77
"ENSDARG00000074967" 1448 1472 2253 2419
"ENSDARG00000074968" 55 85 174 211
"ENSDARG00000074969" 243 238 330 372
"ENSDARG00000074971" 1639 1339 1530 1505
"ENSDARG00000074974" 456 476 876 809
"ENSDARG00000074976" 44 49 39 67
"ENSDARG00000074979" 290 281 333 382
"ENSDARG00000074983" 2 1 5 5
"ENSDARG00000074984" 83 57 49 62
"ENSDARG00000074985" 312 280 1023 1109
"ENSDARG00000074988" 353 241 159 250
"ENSDARG00000074989" 8 9 26 40
"ENSDARG00000074990" 52 44 36 43
"ENSDARG00000074991" 52 44 20 25
"ENSDARG00000074992" 1496 1324 962 1121
"ENSDARG00000074995" 512 359 1037 1065
"ENSDARG00000074996" 555 541 1198 1296
"ENSDARG00000074997" 1748 1360 4359 4211
"ENSDARG00000074999" 20 16 2 2
"ENSDARG00000075000" 380 298 533 572
"ENSDARG00000075002" 410 362 241 275
"ENSDARG00000075003" 278 212 58 69
"ENSDARG00000075007" 499 252 949 783
"ENSDARG00000075008" 68 55 310 292
"ENSDARG00000075012" 146 135 103 117
"ENSDARG00000075013" 418 331 586 520
"ENSDARG00000075014" 5460 4467 1935 1942
"ENSDARG00000075015" 1602 1010 423 418
"ENSDARG00000075016" 56 35 44 54
"ENSDARG00000075017" 1527 1601 261 381
"ENSDARG00000075019" 532 596 284 363
"ENSDARG00000075020" 418 417 1424 1371
"ENSDARG00000075021" 959 898 2883 2532
"ENSDARG00000075024" 806 469 1252 1484
"ENSDARG00000075025" 219 198 383 460
"ENSDARG00000075026" 61 51 10 5
"ENSDARG00000075027" 1164 1162 1725 2131
"ENSDARG00000075029" 1067 1005 1901 2027
"ENSDARG00000075030" 799 870 1577 1696
"ENSDARG00000075031" 17 30 73 83
"ENSDARG00000075033" 71 61 158 147
"ENSDARG00000075034" 759 771 657 602
"ENSDARG00000075036" 487 361 101 131
"ENSDARG00000075038" 20966 37460 10416 10584
"ENSDARG00000075041" 128 144 688 637
"ENSDARG00000075043" 61 99 29 38
"ENSDARG00000075045" 1030 888 1511 1412
"ENSDARG00000075048" 1783 1285 923 1035
"ENSDARG00000075052" 208 202 290 364
"ENSDARG00000075053" 260 213 201 191
"ENSDARG00000075054" 171 154 90 122
"ENSDARG00000075055" 84 70 75 53
"ENSDARG00000075057" 216 196 237 250
"ENSDARG00000075058" 6 2 3 8
"ENSDARG00000075062" 912 764 441 506
"ENSDARG00000075065" 8 7 5 15
"ENSDARG00000075067" 52 27 56 62
"ENSDARG00000075072" 681 598 1086 1042
"ENSDARG00000075080" 85 145 35 65
"ENSDARG00000075083" 1160 1452 2772 2845
"ENSDARG00000075084" 65 54 161 146
"ENSDARG00000075085" 201 226 345 418
"ENSDARG00000075086" 282 165 49 84
"ENSDARG00000075088" 274 231 416 438
"ENSDARG00000075089" 741 955 385 410
"ENSDARG00000075090" 6 1 6 15
"ENSDARG00000075092" 480 319 540 532
"ENSDARG00000075098" 114 112 77 91
"ENSDARG00000075100" 703 731 2203 2230
"ENSDARG00000075103" 79 84 111 143
"ENSDARG00000075108" 1435 1229 694 750
"ENSDARG00000075109" 74 91 132 103
"ENSDARG00000075110" 1284 950 1057 1148
"ENSDARG00000075111" 587 667 422 442
"ENSDARG00000075112" 61 44 43 66
"ENSDARG00000075115" 7 6 5 7
"ENSDARG00000075116" 138 173 881 807
"ENSDARG00000075118" 241 267 200 199
"ENSDARG00000075119" 152 104 324 339
"ENSDARG00000075120" 1130 893 756 867
"ENSDARG00000075121" 5131 2271 2137 1908
"ENSDARG00000075123" 868 742 884 882
"ENSDARG00000075126" 53 47 47 55
"ENSDARG00000075129" 701 596 1044 1234
"ENSDARG00000075132" 1541 1026 2466 2297
"ENSDARG00000075133" 13 21 35 45
"ENSDARG00000075134" 172 163 97 142
"ENSDARG00000075139" 1616 1460 989 1101
"ENSDARG00000075140" 18 15 49 41
"ENSDARG00000075141" 247 222 427 449
"ENSDARG00000075143" 440 423 740 745
"ENSDARG00000075145" 107 76 101 90
"ENSDARG00000075147" 60 63 42 82
"ENSDARG00000075148" 12 8 5 11
"ENSDARG00000075149" 706 752 890 940
"ENSDARG00000075151" 565 478 862 808
"ENSDARG00000075152" 2896 2372 3074 3187
"ENSDARG00000075154" 1 3 11 19
"ENSDARG00000075156" 3614 3082 3917 3882
"ENSDARG00000075157" 65 56 58 72
"ENSDARG00000075158" 110 88 64 79
"ENSDARG00000075159" 29 44 25 29
"ENSDARG00000075161" 173 116 33 41
"ENSDARG00000075162" 3244 2732 3091 3297
"ENSDARG00000075163" 7 9 88 64
"ENSDARG00000075164" 732 652 877 910
"ENSDARG00000075165" 313 250 320 312
"ENSDARG00000075168" 2058 1687 1335 1480
"ENSDARG00000075169" 76 79 221 225
"ENSDARG00000075170" 174 174 256 291
"ENSDARG00000075172" 434 370 739 842
"ENSDARG00000075173" 662 384 882 872
"ENSDARG00000075177" 41 25 18 16
"ENSDARG00000075178" 592 654 1449 1547
"ENSDARG00000075180" 658 531 1039 1089
"ENSDARG00000075181" 370 263 194 290
"ENSDARG00000075183" 148 119 241 230
"ENSDARG00000075188" 2038 2647 3507 3966
"ENSDARG00000075189" 90 87 578 634
"ENSDARG00000075191" 1824 941 588 512
"ENSDARG00000075192" 393 367 1161 1116
"ENSDARG00000075193" 35 12 18 30
"ENSDARG00000075194" 164 135 244 277
"ENSDARG00000075198" 949 810 1302 1282
"ENSDARG00000075200" 496 341 388 436
"ENSDARG00000075201" 1137 1041 1284 1449
"ENSDARG00000075203" 15 13 24 23
"ENSDARG00000075204" 231 230 273 281
"ENSDARG00000075205" 447 335 495 607
"ENSDARG00000075206" 175 98 163 275
"ENSDARG00000075209" 35 25 5 7
"ENSDARG00000075211" 1769 1382 2609 2748
"ENSDARG00000075212" 16 5 15 24
"ENSDARG00000075215" 309 280 572 585
"ENSDARG00000075217" 16 16 30 23
"ENSDARG00000075219" 1000 879 1331 955
"ENSDARG00000075220" 0 0 6 6
"ENSDARG00000075222" 343 265 243 211
"ENSDARG00000075225" 389 285 419 572
"ENSDARG00000075226" 436 272 415 403
"ENSDARG00000075227" 203 207 187 214
"ENSDARG00000075229" 1051 911 799 856
"ENSDARG00000075230" 2423 2512 1758 2097
"ENSDARG00000075231" 267 242 275 281
"ENSDARG00000075240" 4 7 6 9
"ENSDARG00000075243" 4 2 7 7
"ENSDARG00000075245" 882 975 1482 1472
"ENSDARG00000075246" 200 133 152 184
"ENSDARG00000075247" 1165 986 1072 1123
"ENSDARG00000075248" 137 140 93 151
"ENSDARG00000075249" 570 419 4757 4773
"ENSDARG00000075251" 543 557 1153 1131
"ENSDARG00000075252" 1169 1163 2006 2203
"ENSDARG00000075253" 2257 2222 2044 2330
"ENSDARG00000075257" 254 223 445 427
"ENSDARG00000075258" 230 262 251 264
"ENSDARG00000075260" 38 71 262 213
"ENSDARG00000075261" 386 556 3862 3666
"ENSDARG00000075263" 16 22 9 17
"ENSDARG00000075264" 43 28 91 64
"ENSDARG00000075265" 39 22 331 180
"ENSDARG00000075268" 117 87 103 129
"ENSDARG00000075269" 207 185 212 266
"ENSDARG00000075270" 784 517 2530 2922
"ENSDARG00000075271" 401 425 313 353
"ENSDARG00000075273" 78 48 174 170
"ENSDARG00000075274" 956 528 720 939
"ENSDARG00000075277" 875 823 958 1158
"ENSDARG00000075281" 84 63 100 109
"ENSDARG00000075282" 3646 2317 804 868
"ENSDARG00000075284" 83 61 352 327
"ENSDARG00000075285" 303 327 702 678
"ENSDARG00000075288" 59 51 8 5
"ENSDARG00000075291" 196 167 68 82
"ENSDARG00000075292" 225 204 148 162
"ENSDARG00000075295" 39 42 57 92
"ENSDARG00000075296" 967 1059 643 869
"ENSDARG00000075297" 386 384 648 660
"ENSDARG00000075299" 202 173 104 125
"ENSDARG00000075301" 242 249 151 172
"ENSDARG00000075307" 42 41 25 33
"ENSDARG00000075310" 464 311 2627 2717
"ENSDARG00000075313" 234 233 459 452
"ENSDARG00000075314" 625 352 368 447
"ENSDARG00000075315" 12681 10737 5864 7337
"ENSDARG00000075317" 13603 11049 6715 8613
"ENSDARG00000075318" 280 299 306 366
"ENSDARG00000075320" 15 12 12 17
"ENSDARG00000075321" 30 24 29 33
"ENSDARG00000075322" 8512 6795 3334 4792
"ENSDARG00000075323" 308 269 407 458
"ENSDARG00000075325" 1286 924 2371 2544
"ENSDARG00000075326" 480 453 1075 1124
"ENSDARG00000075327" 885 681 1466 1265
"ENSDARG00000075328" 496 440 556 524
"ENSDARG00000075330" 8 16 9 21
"ENSDARG00000075331" 1999 2185 2851 2785
"ENSDARG00000075332" 179 193 299 295
"ENSDARG00000075333" 242 207 641 616
"ENSDARG00000075334" 657 967 563 627
"ENSDARG00000075335" 17 12 52 39
"ENSDARG00000075337" 251 142 356 341
"ENSDARG00000075339" 103 73 226 191
"ENSDARG00000075340" 756 734 1452 1494
"ENSDARG00000075343" 1044 837 808 905
"ENSDARG00000075344" 915 546 613 767
"ENSDARG00000075345" 46 36 38 28
"ENSDARG00000075346" 114 98 174 212
"ENSDARG00000075347" 803 765 1089 1186
"ENSDARG00000075349" 4031 3680 4149 4260
"ENSDARG00000075352" 105 94 183 214
"ENSDARG00000075354" 155 154 1294 1224
"ENSDARG00000075355" 3825 2238 1435 2145
"ENSDARG00000075358" 27 27 50 61
"ENSDARG00000075362" 216 202 220 280
"ENSDARG00000075363" 46 40 77 86
"ENSDARG00000075366" 1 0 8 5
"ENSDARG00000075368" 58 32 32 38
"ENSDARG00000075369" 990 944 2807 2981
"ENSDARG00000075370" 24 17 20 16
"ENSDARG00000075372" 125 73 78 98
"ENSDARG00000075375" 58 52 26 44
"ENSDARG00000075376" 82 69 71 107
"ENSDARG00000075378" 825 616 795 855
"ENSDARG00000075380" 481 512 1453 1689
"ENSDARG00000075382" 99 77 136 132
"ENSDARG00000075383" 469 460 473 462
"ENSDARG00000075384" 657 655 1428 1109
"ENSDARG00000075385" 491 360 744 718
"ENSDARG00000075388" 38 42 10 25
"ENSDARG00000075389" 450 314 390 253
"ENSDARG00000075391" 19 23 17 30
"ENSDARG00000075393" 412 348 196 231
"ENSDARG00000075394" 79 59 103 127
"ENSDARG00000075395" 184 172 275 277
"ENSDARG00000075396" 43 29 39 65
"ENSDARG00000075397" 91 74 42 57
"ENSDARG00000075400" 350 252 268 267
"ENSDARG00000075405" 376 423 655 673
"ENSDARG00000075406" 663 740 382 458
"ENSDARG00000075408" 1464 1256 2126 2184
"ENSDARG00000075416" 96 79 136 142
"ENSDARG00000075417" 193 160 217 203
"ENSDARG00000075421" 23 27 216 236
"ENSDARG00000075422" 173 163 437 415
"ENSDARG00000075425" 101 143 86 120
"ENSDARG00000075426" 1830 1167 702 957
"ENSDARG00000075428" 109 85 47 54
"ENSDARG00000075432" 65 66 89 110
"ENSDARG00000075433" 86 86 170 156
"ENSDARG00000075434" 528 476 1818 1751
"ENSDARG00000075435" 947 943 936 1014
"ENSDARG00000075436" 219 198 82 47
"ENSDARG00000075437" 3820 2978 3487 3770
"ENSDARG00000075441" 367 405 1441 1687
"ENSDARG00000075444" 218 233 3196 3367
"ENSDARG00000075445" 1388 1168 6884 6518
"ENSDARG00000075446" 1217 1181 2428 2440
"ENSDARG00000075450" 207 148 513 493
"ENSDARG00000075451" 332 312 601 564
"ENSDARG00000075454" 337 183 272 341
"ENSDARG00000075455" 302 212 82 147
"ENSDARG00000075456" 566 563 977 917
"ENSDARG00000075457" 195 188 399 428
"ENSDARG00000075459" 51 33 98 146
"ENSDARG00000075460" 1169 1176 2668 2469
"ENSDARG00000075461" 1186 1087 2062 1963
"ENSDARG00000075463" 10 2 7 5
"ENSDARG00000075464" 25 27 25 47
"ENSDARG00000075467" 19 18 5 8
"ENSDARG00000075468" 4268 3398 12418 12659
"ENSDARG00000075470" 200 215 239 311
"ENSDARG00000075474" 459 484 686 862
"ENSDARG00000075476" 2705 2930 1810 2030
"ENSDARG00000075480" 19 7 2 4
"ENSDARG00000075482" 18 9 120 94
"ENSDARG00000075483" 28 32 66 57
"ENSDARG00000075485" 1281 1265 1326 1476
"ENSDARG00000075487" 66 72 753 973
"ENSDARG00000075490" 2468 1874 2586 2808
"ENSDARG00000075491" 242 207 301 271
"ENSDARG00000075492" 90 50 78 90
"ENSDARG00000075501" 19 15 13 21
"ENSDARG00000075504" 1573 1376 1058 1214
"ENSDARG00000075505" 491 394 279 325
"ENSDARG00000075508" 0 0 15 11
"ENSDARG00000075509" 848 705 1145 1188
"ENSDARG00000075510" 26 17 45 25
"ENSDARG00000075511" 130 116 242 263
"ENSDARG00000075513" 20 25 19 20
"ENSDARG00000075515" 33 29 8 16
"ENSDARG00000075519" 75 74 33 37
"ENSDARG00000075521" 1486 1039 7705 7379
"ENSDARG00000075524" 1192 1167 426 481
"ENSDARG00000075525" 148 150 169 176
"ENSDARG00000075526" 407 410 685 601
"ENSDARG00000075527" 1854 1533 1079 1394
"ENSDARG00000075528" 79 70 128 147
"ENSDARG00000075530" 395 392 1013 948
"ENSDARG00000075532" 679 562 909 1064
"ENSDARG00000075533" 164 124 196 197
"ENSDARG00000075536" 5652 5834 15953 15463
"ENSDARG00000075537" 59 58 51 55
"ENSDARG00000075538" 1 0 36 10
"ENSDARG00000075539" 9 4 60 60
"ENSDARG00000075540" 102 92 51 72
"ENSDARG00000075541" 261 548 167 134
"ENSDARG00000075542" 384 393 1261 1170
"ENSDARG00000075543" 2778 2322 3567 3433
"ENSDARG00000075544" 39 31 66 69
"ENSDARG00000075545" 2141 1621 3974 3924
"ENSDARG00000075546" 24 23 142 148
"ENSDARG00000075547" 1762 1400 1995 2058
"ENSDARG00000075549" 27 22 108 66
"ENSDARG00000075551" 49 34 168 160
"ENSDARG00000075552" 30 38 58 62
"ENSDARG00000075555" 549 475 1803 1868
"ENSDARG00000075556" 2284 2390 2485 2199
"ENSDARG00000075557" 499 391 1053 1084
"ENSDARG00000075559" 1206 1009 4807 4385
"ENSDARG00000075560" 1972 1926 3930 4060
"ENSDARG00000075561" 111 101 113 115
"ENSDARG00000075562" 7 12 78 96
"ENSDARG00000075563" 5 3 4 2
"ENSDARG00000075564" 957 737 1009 1072
"ENSDARG00000075565" 390 369 558 601
"ENSDARG00000075567" 295 292 289 365
"ENSDARG00000075569" 1881 1640 2442 2385
"ENSDARG00000075570" 2288 2088 4736 5039
"ENSDARG00000075571" 352 355 922 880
"ENSDARG00000075575" 111 141 105 133
"ENSDARG00000075580" 217 180 169 175
"ENSDARG00000075584" 807 783 1120 1142
"ENSDARG00000075592" 2347 1875 2890 3147
"ENSDARG00000075593" 667 639 904 894
"ENSDARG00000075595" 409 321 804 958
"ENSDARG00000075596" 204 219 330 323
"ENSDARG00000075597" 19 22 42 39
"ENSDARG00000075598" 2 1 419 401
"ENSDARG00000075599" 12 9 18 14
"ENSDARG00000075600" 1159 845 416 586
"ENSDARG00000075603" 571 433 335 383
"ENSDARG00000075606" 2153 1936 1554 1710
"ENSDARG00000075608" 519 447 621 684
"ENSDARG00000075609" 5811 5022 2858 3536
"ENSDARG00000075611" 15 25 37 37
"ENSDARG00000075612" 729 638 800 904
"ENSDARG00000075616" 102 82 252 327
"ENSDARG00000075617" 63 72 222 220
"ENSDARG00000075618" 264 337 515 508
"ENSDARG00000075619" 33 32 208 200
"ENSDARG00000075621" 70 67 1082 1102
"ENSDARG00000075622" 18 29 53 65
"ENSDARG00000075623" 1 3 2 4
"ENSDARG00000075624" 141 108 138 174
"ENSDARG00000075625" 1465 1263 994 956
"ENSDARG00000075626" 48 49 39 49
"ENSDARG00000075627" 405 258 756 737
"ENSDARG00000075629" 61 57 8 13
"ENSDARG00000075631" 59 46 45 61
"ENSDARG00000075632" 9 13 10 5
"ENSDARG00000075634" 313 220 107 122
"ENSDARG00000075637" 676 558 293 445
"ENSDARG00000075639" 261 253 502 612
"ENSDARG00000075641" 29 14 25 32
"ENSDARG00000075643" 1928 1870 1847 1941
"ENSDARG00000075647" 1595 1376 956 1019
"ENSDARG00000075648" 125 113 519 573
"ENSDARG00000075650" 1382 895 1114 1059
"ENSDARG00000075652" 325 314 500 617
"ENSDARG00000075654" 40 37 108 73
"ENSDARG00000075657" 208 165 834 781
"ENSDARG00000075659" 0 1 4 11
"ENSDARG00000075660" 12 7 4 3
"ENSDARG00000075664" 89 103 73 107
"ENSDARG00000075665" 41 50 36 37
"ENSDARG00000075666" 9547 6956 2443 3017
"ENSDARG00000075668" 2758 3127 5242 2626
"ENSDARG00000075669" 132 88 30 45
"ENSDARG00000075670" 1400 1080 1308 1250
"ENSDARG00000075671" 25 21 15 9
"ENSDARG00000075672" 107 151 305 329
"ENSDARG00000075673" 3216 2883 3284 3439
"ENSDARG00000075676" 131 133 120 82
"ENSDARG00000075677" 173 171 551 644
"ENSDARG00000075682" 111 172 679 730
"ENSDARG00000075685" 497 446 414 410
"ENSDARG00000075687" 753 682 1424 1326
"ENSDARG00000075688" 798 669 638 650
"ENSDARG00000075690" 236 171 400 389
"ENSDARG00000075693" 225 191 280 348
"ENSDARG00000075694" 30 25 25 33
"ENSDARG00000075697" 943 845 2228 2134
"ENSDARG00000075698" 10 2 0 1
"ENSDARG00000075699" 243 227 307 314
"ENSDARG00000075706" 164 158 113 126
"ENSDARG00000075707" 454 346 9859 11242
"ENSDARG00000075709" 859 533 1649 1470
"ENSDARG00000075710" 7043 8051 7516 6294
"ENSDARG00000075712" 222 193 153 183
"ENSDARG00000075714" 10 6 44 44
"ENSDARG00000075716" 342 334 577 551
"ENSDARG00000075718" 2114 2059 8044 8843
"ENSDARG00000075719" 3 2 1 4
"ENSDARG00000075720" 893 628 135 150
"ENSDARG00000075721" 565 654 973 1030
"ENSDARG00000075723" 211 176 98 128
"ENSDARG00000075724" 33 73 260 205
"ENSDARG00000075725" 142 146 600 630
"ENSDARG00000075726" 160 163 328 340
"ENSDARG00000075727" 210 237 271 368
"ENSDARG00000075729" 121 107 57 71
"ENSDARG00000075730" 91 110 375 412
"ENSDARG00000075731" 142 160 125 146
"ENSDARG00000075732" 47 58 43 61
"ENSDARG00000075733" 1803 1614 4655 4510
"ENSDARG00000075735" 517 522 824 847
"ENSDARG00000075737" 30 22 24 37
"ENSDARG00000075738" 244 169 301 328
"ENSDARG00000075743" 256 249 625 696
"ENSDARG00000075747" 823 756 1281 1337
"ENSDARG00000075748" 1370 741 1216 1196
"ENSDARG00000075752" 1808 1678 1035 1422
"ENSDARG00000075754" 237 225 441 445
"ENSDARG00000075757" 80 49 93 54
"ENSDARG00000075758" 5407 4481 12213 12278
"ENSDARG00000075759" 939 790 2694 2460
"ENSDARG00000075760" 3745 2946 1956 3181
"ENSDARG00000075761" 404 375 366 423
"ENSDARG00000075763" 12354 11226 6131 6578
"ENSDARG00000075764" 581 610 248 326
"ENSDARG00000075765" 95 88 112 135
"ENSDARG00000075766" 518 407 368 362
"ENSDARG00000075768" 1831 1187 2966 2753
"ENSDARG00000075769" 773 589 734 798
"ENSDARG00000075770" 85 85 188 82
"ENSDARG00000075773" 9 17 11 11
"ENSDARG00000075774" 221 153 310 274
"ENSDARG00000075776" 39 32 18 25
"ENSDARG00000075779" 1147 1240 2321 2571
"ENSDARG00000075780" 2 7 6 4
"ENSDARG00000075783" 88 43 54 73
"ENSDARG00000075785" 1075 1325 1422 1392
"ENSDARG00000075788" 26 18 38 32
"ENSDARG00000075791" 1829 1115 801 880
"ENSDARG00000075792" 1500 1509 1144 1459
"ENSDARG00000075793" 2664 2797 2097 2280
"ENSDARG00000075795" 696 603 810 986
"ENSDARG00000075796" 83 65 141 162
"ENSDARG00000075798" 284 221 705 685
"ENSDARG00000075799" 3856 3479 4996 4995
"ENSDARG00000075800" 3 9 4 4
"ENSDARG00000075801" 1293 1062 2322 2020
"ENSDARG00000075802" 73 75 88 87
"ENSDARG00000075803" 181 157 148 228
"ENSDARG00000075805" 417 301 557 526
"ENSDARG00000075806" 571 535 990 1171
"ENSDARG00000075807" 208 169 44 53
"ENSDARG00000075812" 167 187 167 208
"ENSDARG00000075813" 17 11 6 13
"ENSDARG00000075815" 691 556 431 561
"ENSDARG00000075817" 844 678 684 841
"ENSDARG00000075818" 118 85 170 149
"ENSDARG00000075819" 2244 2534 2887 3251
"ENSDARG00000075820" 1038 977 515 662
"ENSDARG00000075821" 684 530 1462 1377
"ENSDARG00000075823" 88 78 95 111
"ENSDARG00000075824" 1661 1337 2922 2662
"ENSDARG00000075825" 318 373 229 224
"ENSDARG00000075826" 226 254 234 266
"ENSDARG00000075827" 757 722 1528 1063
"ENSDARG00000075828" 5 4 3 2
"ENSDARG00000075829" 0 1 6 4
"ENSDARG00000075830" 485 361 305 499
"ENSDARG00000075831" 542 515 1215 1102
"ENSDARG00000075833" 1335 977 951 826
"ENSDARG00000075834" 410 358 439 498
"ENSDARG00000075837" 99 94 84 100
"ENSDARG00000075841" 547 413 351 479
"ENSDARG00000075842" 608 700 477 527
"ENSDARG00000075845" 2793 2339 3584 3466
"ENSDARG00000075846" 28 24 35 47
"ENSDARG00000075848" 115 103 151 149
"ENSDARG00000075849" 497 334 1367 1297
"ENSDARG00000075850" 319 310 528 523
"ENSDARG00000075851" 370 290 899 899
"ENSDARG00000075853" 1196 850 4233 4137
"ENSDARG00000075854" 2476 1949 713 772
"ENSDARG00000075855" 1116 955 856 836
"ENSDARG00000075856" 4994 4282 2510 3026
"ENSDARG00000075857" 137 152 226 258
"ENSDARG00000075858" 630 596 383 572
"ENSDARG00000075859" 1313 1031 1223 1169
"ENSDARG00000075864" 302 290 182 219
"ENSDARG00000075865" 509 448 468 617
"ENSDARG00000075866" 91 81 131 121
"ENSDARG00000075867" 466 345 246 263
"ENSDARG00000075870" 1683 1272 2174 2504
"ENSDARG00000075881" 321 237 210 277
"ENSDARG00000075883" 514 402 1656 1508
"ENSDARG00000075884" 260 289 345 365
"ENSDARG00000075886" 30 22 25 26
"ENSDARG00000075887" 1330 1201 974 967
"ENSDARG00000075891" 15 24 188 228
"ENSDARG00000075892" 1917 1460 4000 3848
"ENSDARG00000075898" 96 88 135 154
"ENSDARG00000075899" 331 321 511 520
"ENSDARG00000075902" 41 25 22 23
"ENSDARG00000075903" 158 170 159 113
"ENSDARG00000075904" 1447 973 1324 1519
"ENSDARG00000075905" 4 3 16 16
"ENSDARG00000075906" 5 1 3 4
"ENSDARG00000075907" 718 684 802 924
"ENSDARG00000075908" 316 248 365 358
"ENSDARG00000075909" 1152 1157 6711 7064
"ENSDARG00000075914" 6 6 8 7
"ENSDARG00000075915" 84 57 220 242
"ENSDARG00000075916" 154 122 395 429
"ENSDARG00000075917" 40 66 109 118
"ENSDARG00000075919" 702 703 368 438
"ENSDARG00000075920" 6043 5134 2489 3486
"ENSDARG00000075923" 220 254 304 320
"ENSDARG00000075924" 113 92 84 94
"ENSDARG00000075926" 1 3 6 12
"ENSDARG00000075928" 129 128 424 424
"ENSDARG00000075929" 26 29 15 15
"ENSDARG00000075930" 1620 1610 2154 1908
"ENSDARG00000075931" 13 10 13 9
"ENSDARG00000075932" 244 189 40 86
"ENSDARG00000075933" 654 458 1104 866
"ENSDARG00000075935" 71 94 418 399
"ENSDARG00000075936" 1324 885 1154 1415
"ENSDARG00000075942" 38 39 83 110
"ENSDARG00000075943" 9 13 7 14
"ENSDARG00000075944" 2 5 6 5
"ENSDARG00000075947" 469 446 795 758
"ENSDARG00000075948" 50 45 42 56
"ENSDARG00000075949" 22 23 27 37
"ENSDARG00000075951" 4608 5314 815 756
"ENSDARG00000075952" 434 316 424 425
"ENSDARG00000075953" 1145 677 1167 1100
"ENSDARG00000075954" 925 1024 15258 16292
"ENSDARG00000075956" 31 28 19 15
"ENSDARG00000075957" 1478 1154 1264 1303
"ENSDARG00000075958" 0 1 5 7
