"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"96" "ENSDARG00000009014" 22662.7142326736 4.30488789243064 0.178100894413595 3.00801787256197e-130 2.25170462206348e-127 TRUE "col11a1b"
"97" "ENSDARG00000058471" 1569.6818729201 4.28962227232124 0.202887105906057 1.99774534823854e-100 9.22192548502716e-98 TRUE "plk1"
"98" "ENSDARG00000056134" 7084.89525876135 4.28398436813192 0.153131813549221 2.21254940535783e-173 3.40449893778866e-170 TRUE "c1qtnf5"
"99" "ENSDARG00000088591" 18.1079289432068 4.28218107326815 1.17458720647492 5.74065560288661e-05 0.0002056907351011 TRUE "CR759791.1"
"101" "ENSDARG00000055175" 330.267037854462 4.26381168005283 0.281230507495747 8.06916366193594e-53 7.32759429326687e-51 TRUE "c1qtnf6a"
"102" "ENSDARG00000037145" 699.947758336279 4.25950122569667 0.219438055130662 6.82169291270325e-85 2.05370031090372e-82 TRUE "slc8a4b"
"104" "ENSDARG00000075508" 5.48844172654503 4.24251945350569 2.82803631919783 0.00227204113796791 0.00608006989355528 TRUE "si:dkey-108k21.10"
"106" "ENSDARG00000077817" 117.68538501962 4.24016192017893 0.431408117428659 1.51969661785265e-23 3.64740357232797e-22 TRUE "cxxc4"
"107" "ENSDARG00000076650" 5.44181411872761 4.23354490337865 2.82116828357166 0.00227669052682367 0.00609015815350928 TRUE "pde9al"
"108" "ENSDARG00000078004" 123.040656677358 4.2327617370991 0.438494697123054 8.0073815001864e-23 1.83745190895329e-21 TRUE "drl"
"109" "ENSDARG00000075707" 4653.78409712861 4.21755174110069 0.160062551798521 4.32882799759962e-154 4.2819838946256e-151 TRUE "nid2a"
"110" "ENSDARG00000010031" 93.3364731832472 4.21232225896436 0.490474307913501 1.29885171735778e-18 2.18158253581918e-17 TRUE "ssh1b"
"111" "ENSDARG00000004627" 1481.78628832575 4.20799075163786 0.184489935056128 2.57280091369982e-116 1.45426258993355e-113 TRUE "panx3"
"112" "ENSDARG00000055705" 184.620525527876 4.20137246728419 0.353179440627065 1.72951357742682e-33 7.61563395134985e-32 TRUE "f5"
"113" "ENSDARG00000010948" 2018.23357531293 4.19487311501225 0.226737015755469 1.15499372620938e-77 2.60080172640822e-75 TRUE "kif11"
"114" "ENSDARG00000073699" 381.309099896407 4.19277744786687 0.320135148730515 3.14465167317923e-40 1.87709951275959e-38 TRUE "col9a1a"
"115" "ENSDARG00000044895" 169.60990530745 4.17420352770716 0.372175485846577 5.17218469699397e-30 1.8508268676052e-28 TRUE "fmoda"
"116" "ENSDARG00000036036" 24702.0626095166 4.15841257557522 0.155811739012169 5.17148627998436e-158 5.72938621986907e-155 TRUE "mdka"
"117" "ENSDARG00000035150" 263.547558248653 4.15708216542509 0.316243005967729 2.21845072128626e-40 1.33285096805782e-38 TRUE "drll.2"
"118" "ENSDARG00000011797" 1986.66228236958 4.15701806619995 0.178158361788066 1.93963574524503e-121 1.27909741038218e-118 TRUE "tent5bb"
"119" "ENSDARG00000005454" 1104.10117248626 4.15206003027129 0.205347516630277 4.87704880228457e-92 1.80106160902501e-89 TRUE "tacc3"
"120" "ENSDARG00000031761" 10.8038636488299 4.14357233821281 1.53069568384296 0.00160776335295364 0.00442954556716971 TRUE "dab2"
"121" "ENSDARG00000095674" 22.1639608682608 4.14177760971301 0.997020188943217 6.38432376062761e-06 2.64750135047317e-05 TRUE "tmem123"
